查询关键字,数据年份,发表日期,全部单位名称,作者名称,论文名称,来源期刊,刊次,分类号,页码,链接
内外兼修：多重网络交互影响下的自组织团队创造力研究,2025,2023.11.21,1.山东科技大学经济管理学院;2.华南理工大学工商管理学院;3.广东财经大学人力资源学院;4.中南大学商学院,王甜;曹洲涛;宋一晓;廖琳,内外兼修：多重网络交互影响下的自组织团队创造力研究,南开管理评论 ,No.06,C936,[51-62],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kegK3c4UCmB3GlXRu_jErvz_n1IUZlUPwTARq8X_rb7cfXVVB1UC1tQv6owQwLBuSZlkqCzdKUWHr4AKleF48TxEcHJk-JiX0bCWw0ss1F9c6AhhvPLLopZyIptZWgDg2wLVkhe9P9Oofk_9Gh3aIREYv2sI4YtptGQ8ZiOsNI7EA==&uniplatform=NZKPT&language=CHS
行之有效还是徒劳无功？数智融合发展对长三角地区减污降碳协同治理的影响研究,查看该刊,2024.06.11,山东科技大学经济管理学院,张杰;刘亚琪,行之有效还是徒劳无功？数智融合发展对长三角地区减污降碳协同治理的影响研究 网络首发,长江流域资源与环境 ,,X321;F124.5;F49,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcW4HH0rIzEgvurT0kzT3hcprdM2uOYp6MjXATL_ondQVtw_ti7KVNgIDhZpVCTjv-GQW2d0TR72pYYOzWgSQutN0xslB-nQvmW5SoGhaWXzc-vciSFguatrzSKpDgCHdIcxNLoFh1auxpDcXjrfvsq5eq6cEjWdarMTz6Ef0-mbw==&uniplatform=NZKPT&language=CHS
数字基础设施建设、要素市场化配置与旅游经济包容性增长,2025,2024.09.18,1.中国海洋大学管理学院;2.中国海洋大学海洋发展研究院;3.厦门大学管理学院;4.南开大学旅游与服务学院,刘佳;安珂珂;赵青华,数字基础设施建设、要素市场化配置与旅游经济包容性增长,旅游科学 ,No.06,F49;F592,[66-91],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc6aV2Jc9-0-oz2HNdR_4E2O9GojeqtUeaSsBcZzArxv9ebSHPHPynKdM5F3Ll71PvF2-27vcGgiIUSsR__6h38WDOiBGfYqzFPDxlXxTDzOaFla55uUNUUCPdZiZmgchZm8pFbP1T07ema3MuSoPSL88P8lawz6IKmOpaElYYhpg==&uniplatform=NZKPT&language=CHS
新能源汽车动力电池协作回收模式及运营方法研究,查看该刊,2023.11.14,山东科技大学经济管理学院,饶卫振;常悦;刘鹏,新能源汽车动力电池协作回收模式及运营方法研究 网络首发,中国管理科学 ,,F426.471;F426.61;F713.2,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdi7v81eYROw4Vmj1L_uBfUmt4JHVghS-tGt_DKxVGOwqJ-pgVZ-9fn-6No56lsWTbu3HAAeVLclyPcgX06MiyE1i4gcsSSav3IgcyrZHqwof7ZabceKvMy8lZ6AvOK2oMTmh6HGjx0Wuip71Ec2h46JW7ZfALDsvShNuyVd68OOg==&uniplatform=NZKPT&language=CHS
依托平台农超对接运营模式及物流协作机制研究,查看该刊,2024.03.27,1.山东科技大学经济管理学院;2.上海交通大学安泰经济与管理学院,饶卫振;高召珣;朱庆华,依托平台农超对接运营模式及物流协作机制研究 网络首发,中国管理科学 ,,F323;F721.7;F252,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfVNiB-4GiiUeAMepy3Cfk9LJdr2xb0LbGlEZMnAWg9L_MmfL9LWAaNGRtKbCq940ef6JQ0cudsUnn4Ux2wM-eYVpTtLmICkRgTtv6qZSIdtAurDasmO2R-ajI8-nP95YAQrOryaJNLVm2dNplVrb-8YYBK9fuMEszuH291i889UA==&uniplatform=NZKPT&language=CHS
客户参与物流协作配送的最优价格折扣激励策略研究,2025,2024.04.28,1.山东科技大学经济管理学院;2.上海交通大学安泰经济管理学院,饶卫振;彭新如;朱庆华,客户参与物流协作配送的最优价格折扣激励策略研究,系统工程理论与实践 ,No.01,TP18;F274;F252,[248-268],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcR1dBlKf34NRcGmTQ9E2yNKZIzt2uCvDgZKbxsdlzpAXgyJDihILoDb8mN5vyxG9i2X6xUFAA2Ykia6WLXR-Mhjs96e4mGjMKpIcPj1NLLaAWqmovF6-pqck6T6G2cWDhYFNz5xS8CHz-LRe4KjHt3eJiRKvqnE75Q0K2vCdMSow==&uniplatform=NZKPT&language=CHS
父母吸烟、家庭支出结构和代际健康——基于CHNS数据的实证分析,2021,2021.11.02,1.厦门大学经济学院;2.香港大学工程学院,张铭洪;郭修宏,父母吸烟、家庭支出结构和代际健康——基于CHNS数据的实证分析,福建论坛(人文社会科学版) ,No.09,R163,[53-66],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kexuY5cmj-3VzUnk7UDOmr9DF1afzEUHVKjQEb1cVzoTpyctTgNLnyWKxHGTNyXRtfaSmNR2I5kpxu_rgrHyOR2haEiBAseI2wm-mSH69v6QpHuczVk5V9L5sH6DVVm6De-Dyh8pG3TKg1kxQMl7etbOSpqz8fPhBHGUUjECoAf-w==&uniplatform=NZKPT&language=CHS
竞争网络与公司财务绩效——基于可解释性随机森林的经验证据,2025,2024.04.18,哈尔滨工程大学经济管理学院大数据与商务智能技术工业和信息化部重点实验室(哈尔滨工程大学),朱建新;刘可心;曾能民;吴雄,竞争网络与公司财务绩效——基于可解释性随机森林的经验证据 增强出版,中国管理科学 ,No.08,F840.4;F842.3,[75-89],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfokuO6iCkJFwHlEtpMR0q71XbBjetLXvaCnIPJgN1HpBdviJj0fA4716LmWmbD2wdwJvv36Bsli7cc_cWAmjBkjyN_SMKhMddzy9_03VnAj01K9Yxhif0qOSz-3gZ-A8vPl_MY3-NqdQkaOwLc9YroTt-tso64p8DUGLfgV7ZfIA==&uniplatform=NZKPT&language=CHS
非控股股东网络位置对企业创新的影响研究,2025,2024.04.18,哈尔滨工程大学经济管理学院,杨忠海;修雪;李瑛玫,非控股股东网络位置对企业创新的影响研究,管理学报 ,No.01,F273.1;F832.51,[85-94],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcbJxhdoWhi_8A-FYyDN0dvdieVF_Y7MEYmE3vHS2M34aJp8DNHf49-HeEPdArIzA9TKtODbX-SjZA7JwsaVZB6nYWPX7n4cHHZxjO_YhobwSLGb4EzrSPztuJaqbt5SnZAXaCVLbrCzJjvLs6wbX3aCTqhgHXl6K_6b6LKNJ6JzA==&uniplatform=NZKPT&language=CHS
数字化时代工作自主权对商业模式创新的影响研究,2025,2024.09.11,山东科技大学经济管理学院,王炳成;何苗苗;赵静怡,数字化时代工作自主权对商业模式创新的影响研究,统计与信息论坛 ,No.01,F272.92;F270.7,[119-128],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfo6WAvLivfkCVTB1n5dOYGJJ90OUusnlPyLTfPTX7jqYIO5iIralQa1w_E6n_Bu4vLobJd4bRBnmwAZ339rHGbbvTblsJNmWMudxhCKi693GUI3pYEyhhq_O8RX6NWOLy56QZR4wzKHUqQTEWTKENrz-AMVFZt_NtV-ArNnadrPg==&uniplatform=NZKPT&language=CHS
疫情环境下双渠道零售商门店配送策略的采取决策,查看该刊,2023.04.11,厦门大学管理学院,谢平;徐迪,疫情环境下双渠道零售商门店配送策略的采取决策 网络首发,中国管理科学 ,,F274,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfA4GGpQEve_ZeCNm9sUfWohslvl-7s8s9o74w3s4-q9EOQeqLgnXiW2XvfAlLI25sh5X-ctqcCzCqMHgCCovujyHvzinLgYQKeno60V-IhAGrNWqEJFEmjL1DgzQ4-_a7xDBl13QO6AJLn-SwtmjUbqKqOEIRRjsGhELksUrOSwQ==&uniplatform=NZKPT&language=CHS
碳交易背景下依托平台的协作配送双重低碳激励策略研究,2025,2022.11.25,1.山东科技大学经济管理学院;2.山东科技大学济南校区图书馆;3.上海交通大学安泰经济与管理学院,饶卫振;周俐辰;马翔宇;朱庆华,碳交易背景下依托平台的协作配送双重低碳激励策略研究 增强出版,中国管理科学 ,No.04,F274;F812.4;X322;F49,[299-312],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfDFqq4JVQrMxdAFn4Mq2DjjWVPFvtE8GF7BWzYhwTQeVQA3oTrNYD8Vx3F9hGUigrO6krLOw7smXMVBvojhhzKR3sPpwnfJeNTM3KMiSDC3qU-eZ6qc1fN-k3ppvBIp9RECqUBRslP427B06QbASKSAqyQFEJsaBJDVR37pRMIOQ==&uniplatform=NZKPT&language=CHS
数据要素市场化对企业新质生产力的赋能效应与机制检验,2025,2025.01.13,哈尔滨工程大学经济管理学院,梁雁茹;徐建中,数据要素市场化对企业新质生产力的赋能效应和机制检验,统计与决策 ,No.01,F49;F273.1;F832.51,[23-27],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcUiUKadvBXlirJL7xrWO2M3geg4Rsimwo3XPB9fAzJXob5Hdj5A9L7gJ3t1A9szGxKxocENOij_YYX1GXEgQ27TdAsEcduheZ5JDssNAVMMQUqm8_n67rk2zo-PJJQGQ8Ak2tHV3EMikC_6Y28LFWdPqTv1I2PpSdivSikOppm5Q==&uniplatform=NZKPT&language=CHS
专精特新企业与非专精特新企业数字创新多重组态路径研究,2025,2024.01.15,1.江南大学商学院;2.服务型制造研究院(杭州)有限公司;3.哈尔滨工程大学经济管理学院,邢新朋;鲍菁铭;关昊;刘天森,专精特新企业与非专精特新企业数字创新多重组态路径研究,科技进步与对策 ,No.04,F276.3;F49,[140-149],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfoARf49wux_6DNz42Pvn_JSVVJYTFKfxD9TE9l1KnJqc6_sE0oXGscWr6wKPQ3cwbvtZRDaktsmAJR0HcMKcfT5DJhXP3SyoJ4ji8HIaQbUg5dBKMQB2HmsjNPMCb-FNmEU-Bnd2hTcU0_RQcIKQUlVJZJcJcqSo_S50sEwRuvYA==&uniplatform=NZKPT&language=CHS
浪漫或现实？网红餐饮模糊食物名称对购买意愿的影响,2025,2024.09.23,1.厦门大学管理学院;2.贵州师范大学国际旅游文化学院,周星;徐颖儿;杨洋;陈瑞;涂青青,浪漫或现实？网红餐饮模糊食物名称对购买意愿的影响,旅游学刊 ,No.02,F713.55;F719.3,[106-120],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdis1XvYr6g9tXlDquplinNWcpNxYoTcZTizMUBZv9D6lLTPHqro3f66g9lQMlI1IiLUMHWRVJRyghiMsyfgKALE_rDkSUvnE7FzO-cq4lnvR2b-k7nJRzLYJx4_l_cwBAOuyioOugL5_Z69IsQbipa9gMjUjk_Uojyshaudajj4Q==&uniplatform=NZKPT&language=CHS
机构股东权力与劳动收入份额,2025,2024.10.16,1.厦门大学管理学院;2.中南财经政法大学会计学院,吴晓晖;李佳玲;秦利宾,机构股东权力与劳动收入份额,南开管理评论 ,No.03,F272.92,[77-87+99],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfHhI0HoTvnYJzsv55sc1uvXHo6XY5AiDjNcvA29aDbyOIwBii3De42ZGTuKYz6P9eOGQ5k05uoem3dJ-te9PYXDx1zRyzqDr8TQ3hWvbTpW29GIizvUtks9E7nsdJPnUacBXsSwmT9XSoBpf73fYKHuDdhi1hKY8gP10ejb_3YuQ==&uniplatform=NZKPT&language=CHS
基于生态导向重构美德伦理学,2025,2025.04.07,杭州师范大学公共管理学院,汤剑波,基于生态导向重构美德伦理学,伦理学研究 ,No.02,B82-058,[95-103],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfpK_2JoK7jEDjJb1it3MXRTT0u8QWr5vkcgQU17o_mDREqB5GGWt_5B1mk2_vDulITNWteYKk655Pbq_ipPoQoL6QXcCW1yIYfGtViGO0yU1CeFS1iA996HBzGc5OF3PsLisFLEWIHh7SkBm5I6_Sc8LU9W0Ena0zDmFb0X4M5ng==&uniplatform=NZKPT&language=CHS
世界一流大学文科实验室跨学科合作机制的多案例考察,2024,2025.06.03,1.厦门大学教育研究院;2.北京大学教育学院,程飞亚;赵祥辉,世界一流大学文科实验室跨学科合作机制的多案例考察,高等教育研究 ,No.11,G647,[97-106],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kctduC_G5TJ5KwsvqW8VlrxoCBR7EMp71pvkWPTvIMcEOp19CDC4362E0h3IYYQUh9zjdnQ6QlJrWczGktdkr5APMWof0nmKU20j80Ug0LWM6k2Sau7bvgb8R7yqEipMC5SL3VLpeQcgEwusrz7VW3hR8_bxQPYQFrxcoMNGpNH-g==&uniplatform=NZKPT&language=CHS
复杂产品系统追赶：基于“内容—过程—情境”的研究述评,2025,2022.12.16,1.厦门大学管理学院;2.北京大学国家发展研究院,郭艳婷;梅亮,复杂产品系统追赶：基于“内容—过程—情境”的研究述评,南开管理评论 ,No.02,F273.2;F273.1,[4-15],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfot1e5Mar2Er3iL6dBnI-e8bRvBGz1IwZx2w9CEa3Ct_Hkl0m2K_cNJOJQD7Gx1V4SBi6bT_cpLe60aLAeygUxwzSRELEDIYRNGLU4zPItn6Xc_oatpECbYswEJExLdSlgHoldWWImOhqpTz_ELfO9KSpM4ttWgdnwxn78HL8A3w==&uniplatform=NZKPT&language=CHS
从反精英、泛精英到高质量：新中国成立以来 高等教育发展的路径与走向,2024,2025.05.08,厦门大学高等教育发展研究中心,刘振天,从反精英、泛精英到高质量：新中国成立以来高等教育发展的路径与走向,高等教育研究 ,No.09,G649.21,[8-17],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcwGngJKvvhUOAJfrOMhJYdpVC6-oUQyd_4xlHXRNFPjJwb_F-LXI5Xb5sl4IL2n2OAdDM4f0w3EugddajcXI_T1gTCC7RB6zS8_KiBX31dhfu2dAr2T2XoBuIf3wi0GJ7chV1-LLhpkNVqS6TJ281I1olZ-RWQpIr9yu-PC4LxIw==&uniplatform=NZKPT&language=CHS
智慧教育的内涵及生态系统建构,2024,2025.06.10,厦门大学高等教育发展研究中心/教育研究院,别敦荣;杨梓,智慧教育的内涵及生态系统建构,高等教育研究 ,No.12,G434,[71-79],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc_4Gwa4nPnTjM1d5UPNY_Yur0mw1Xwuid0Zul6ZzaE5oiavgOiIpzKC8GYbW2fPB9ml2Flu1zRXJb0gS4uNCOrOWSrNmLFoEYo_eunZNrNPsezu8n14QiI5w8EmvbKW2KFliV2qhHh8VfVJ3--5voLTzPVzeAN_kOzo0BzfDAUAA==&uniplatform=NZKPT&language=CHS
从反精英、泛精英到高质量：新中国成立以来高等教育发展的路径与走向,2024,2025.05.08,厦门大学高等教育发展研究中心,刘振天,从反精英、泛精英到高质量：新中国成立以来高等教育发展的路径与走向,高等教育研究 ,No.09,G649.21,[8-17],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keoOksR98cqv_ItS8ODNV9ICTzh0xSiz7oWfDEgR_7mj3ea9z6weNFCyXlhegazBhEA9qpqlE6SG_EYQFx54GXgJ77UHftxOUQkwdnjiM-ltCpGX5i-e2eC8de9BXmKLuYCkXdGRgyHDfHVQ19-DFiBSM4ip4PZa-y8Y4HK6PfsCg==&uniplatform=NZKPT&language=CHS
私恩与公帑,2021,2021.06.05,,陆建德,私恩与公帑,读书 ,No.06,I207.4,[59-64],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfr8DnLD53aLhyUUDhVBqJoSV9eC0UkiBNieJDLR9SeHtBkxpNMrWalvPKvhXMDcf8JwN_mYUX_DSZe_ambJkBrz2m51VXpjC7rcVWvfU8MUbtM-tXvjLUK-J471JMHJbOvlg_McUX-F-TBzVq2wmtzBwLQTZkNc3spa6gEE3Rs1g==&uniplatform=NZKPT&language=CHS
亲清政商关系的创业赋能效应——来自中国城市层面的经验证据,2025,2024.07.15,厦门大学管理学院,罗进辉;巫奕龙;刘海潮,亲清政商关系的创业赋能效应——来自中国城市层面的经验证据 增强出版,系统工程理论与实践 ,No.04,D630;F279.2,[1131-1151],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke1LE_wvxdZpOb15UTztYLMzwWIqzFndFiQFnmOE9DYuwLjUCHSkMKWsA4n1ixV05ctQ_WcyrqUb0yj-lzGa1kM1cfqN4OEHuk0JjJ_P6oDrJsuco8JHiKrCKVt9YtWz3pSLbxVJIZI2nkFdv_lHA7u9XLKWNlfY-FS6Tvz26yEEg==&uniplatform=NZKPT&language=CHS
趣味的演变与延续性,2021,2021.11.16,,陆建德,论趣味的演变与延续性,外国文学研究 ,No.05,I561.06,[55-66],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdkvfqj71fmZZ4_o0O3EdR48e2XPZQ6vRH4HtPSvmZhafDFWDAI1RXrpw3M4iA5b3MvEJf7iOdnzkEgC4VUtBjJKGboBakYie6iDGcHFifVpxm0B3Scq-2P6YGulAZ_TnkDLvdrJIgN1m23bfjgB5OB8MdCzKQW2mtDxJDOfc6Ikg==&uniplatform=NZKPT&language=CHS
Fiction and Film in Interaction,2022,2023.01.04,厦门大学外文学院,沈安妮;达德利·安德鲁,小说与电影的互动：达德利·安德鲁访谈录（英文）,外国文学研究 ,No.06,I106.4;J905,[1-14],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kd02jwELbiHtNudT0ekZRFCqRIw7YfUJ_RLncdBNCmdmQvtMGJB6MacYdmsVeUh0FfCsC3Gqjt_kBS6vP7OUZvdTc6m8N579pxBhkLexOw4C3I4-JVa7oz3FBR5KVy34-RUNetfZKqXdu-akn3aTu_HSoZ86aWDRRTuf220r5vUyQ==&uniplatform=NZKPT&language=CHS
CCS相较储能何时拥有成本优势? 从中国电力系统低碳转型出发,2025,2024.06.06,厦门大学管理学院中国能源政策研究院,林伯强;刘智威,CCS相较储能何时拥有成本优势?从中国电力系统低碳转型出发,系统工程理论与实践 ,No.01,F426.61;X322,[109-126],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfygkdCICqaesZML_98tXOLBBEXrJelWvwun6cUJYDWViD1_lpR_tLYuvD7hYR9RKQWqbP6QYitqotXfCxaAkU1Xk9WBgyR9IYiuotz77nlcdx3MItieT-Wsw44pY9fDLGOFSCzdPzhkuFVyckquJQ_l20zdVTVbjgGXxSHO1ivPA==&uniplatform=NZKPT&language=CHS
经济增长目标与企业人力资本结构优化升级,2025,2024.07.15,1.江西财经大学会计学院;2.厦门大学管理学院,熊家财;杜川,经济增长目标与企业人力资本结构优化升级,系统工程理论与实践 ,No.03,F272.92;F832.51;F120,[717-734],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kf-g-oiinxL306MIE6oFoVv92T3ETpV99QknRu0a_1_BehAYKW4o5nHWt4_WvUgLfU3xT2PO06OMxHHH0PnWJMfAJqc6AWozVdROAloDdCfgIVhkjDjfc9elBw_n7-OyWeDcKC_DNEdc45TfKz104PTVaVyUMe3wYOKM010yRm_2g==&uniplatform=NZKPT&language=CHS
考虑心理成本的应急物流选址路径问题,查看该刊,2024.02.09,厦门大学管理学院,彭丽芳;赵楠楠,考虑心理成本的应急物流选址路径问题 网络首发,中国管理科学 ,,TP18;F252,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcoAgVn4Nj9h3DHtqoHmRDntIrDN9OOcx3OJP_ga8KApRatuAzm0HIYDoJKUhFtAiffcLBN0vuWF7l8MhO_HV9-V9WoirSDtMfq6hORBrHlOMLGfX1teB6wAK1gAiUe6iSwjvb-Q0wm2Ov6y6oNm7e6MH7NNkpxMzIUZqgBbY3LdA==&uniplatform=NZKPT&language=CHS
基于机器学习的企业基本面估值错配异象研究,查看该刊,2024.12.18,1.西安交通大学管理学院;2.西安交通大学经济与金融学院;3.厦门大学管理学院,乔政;卓榕生;葛瑶;刘杨树,基于机器学习的企业基本面估值错配异象研究 网络首发,系统工程理论与实践 ,,TP181;F832.51;F275,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfJd4G1vg9OSX11oielTNfDZpnJ5ga8u5qm0Bf3GDLT_tLkpyrP94JVaWTYmsv7QJEkAb5l_lI-MyTngLzX3roz-59XkuthMuWMuxuz8WFQJaAy_dSyWg5G6_97Eq7UdU-B66HBYPMsN21WZ8XGy_8J8Mn94J3oq5nd13ecwoDT-Q==&uniplatform=NZKPT&language=CHS
企业动态竞争行为：研究述评与展望,2020,2019.10.29,1.山东财经大学工商管理学院;2.济南大学商学院,徐鹏;白贵玉,企业动态竞争行为:研究述评与展望,外国经济与管理 ,No.02,F271,[3-16],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kchN0S-5SAyjUW0Cs5rULXyRadOIJC9Mr62LckVK_teTeevVbm26k-y0mYkrLCZq5YXAE-Fq9RU_pm73B339ICCItZXc_uCPDPy7rTMCOyndnaduD8F8oq-h5peMZoxReT4WSg29il6Njs4XdiXzPTtOqu9As5VLoq_tdnD90maUw==&uniplatform=NZKPT&language=CHS
环境规制强度与ESG评级质量,2024,2024.11.19,山东财经大学统计与数学学院(统计交叉科学研究中心),田金方;李泰棒;杨晓彤,环境规制强度与ESG评级质量,经济与管理评论 ,No.06,X32,[58-69],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kezzBgPsd_3Dr-QMJG4N9FzsSj2VPW4uEoPuOYSkTx5b13NqzrrpW74fY6pklD9SnuXmzVlFCj6hkIJmxJn6brfQpDwZbsGnwQgcXKCeP9N1kkRmF4eXzgETX0H6J0j__X9jcSUaXfGU2XD5SHcfsiytwIGiYxGHyIT3YBw-fcrWw==&uniplatform=NZKPT&language=CHS
学史崇德见行动,2021,2021.09.08,,董文,学史崇德见行动,红旗文稿 ,No.16,D261,[48],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdwXy2l0wCnr560usJVqanzXl_1MusrdMZSs7tRS-i61fORv55KcAOwir7RWKxbCr6_Deg14d5X4GtKjH2_s0c9q4PDtrSjYVCe8LF3RqgvJhGUNNXynlq2zjvZgJfElLZC4lLItfsgWatE9I7978ZLg0M4TERRKl26rgMBUvvTBg==&uniplatform=NZKPT&language=CHS
涉城乡规划行政案件裁判规则构建初探——以控制性详细规划案件为切入点,2021,2021.12.08,1.最高人民法院第一巡回法庭;2.最高人民法院环境资源审判庭;3.北京市第四中级人民法院,耿宝建;田心则;胡荣,涉城乡规划行政案件裁判规则构建初探——以控制性详细规划案件为切入点,法律适用 ,No.11,D922.297;D925.3,[89-100],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfeKOi0fP8HC6ntDWS_vXIcu7hU1h20yTvlwqC8oHqor10JrNX_nP79cXAscZg9ncJ5O-a90V63j-P7Ms8zPnu1CEUStX24BNtjMSSbfg7b0Ul2PQzFVXQ7wSMp0YwlifOn6hdlDjawtDD7MVR27snYOB4_Du7FoyebKFbCvKaG6g==&uniplatform=NZKPT&language=CHS
福建畲族人群体型特征,2021,2020.08.28,厦门大学社会与人类学院人类学与民族学系人类学研究所,胡荣,福建畲族人群体型特征,人类学学报 ,No.05,Q983,[824-833],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kd_Ll5u6TwOLBDaYLaGcM1PJ07qWiW9Ad1h9UN1bddWXLLCGZ_NrW_pVwqu9sKKC1k1nx8YTfSnQJ9qQIPpQoeSkkR55Gbt90tV1zCuOuEbUs9xuipXsISXy4304-TO9cMzNyMJBqof4gtH_lipwo06egLBZzZxWkQ21AclOHUCxQ==&uniplatform=NZKPT&language=CHS
中国省域农村教育人力资本与农业全要素生产率的空间交互效应,2020,2020.04.15,1.山东财经大学工商管理学院;2.济南大学商学院,于伟;张鹏;姬志恒,中国省域农村教育人力资本与农业全要素生产率的空间交互效应——基于空间联立方程的经验分析,中国农业大学学报 ,No.03,F224;F323;G725,[192-202],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keNheABsSKhWjgfqM-k-fmmMxGhmWXeIFXTen3FG4S0HhCuV9QUmwK6jmZ7ibU6T2aur17TPDB6h0y6gzZhFtuakv0jJjkV5VlVFfhRnggL5ddgqzwQQgWXe9grXc--aG83DibE3Bw51H5UyqgbkPNlFzXG9xnhHcg4kI8i64kMWw==&uniplatform=NZKPT&language=CHS
民族地区干部队伍的政治建设与治理能力提升,未知,未披露,,王福龙,民族自治地方基层领导干部政治能力建设研究,未知,未知,D633;D630.3,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keIaZ1stTxVCO_e9D_UYfclVzj5DuvP6mu1YAGJGpPUxL1ZKDn73P3UrTIAD_UQ8u_9k66FVzsE2-x19gw8KeauTtaRv0P8YfQH503vw9oS0uOr5_Q_9fO_zdIfhuIDum9DUFJqt1tkB-JHrGWB_2jNhs1koSXLkPKavQhGlpSBWyjWgFN7PUrA&uniplatform=NZKPT&language=CHS
中国民族艺术学：谱系、定位与格局,2022,2022.02.28,1.四川美术学院“中国艺术遗产研究中心”;2.厦门大学社会与人类学院,彭兆荣,中国民族艺术学：谱系、定位与格局,民族艺术研究 ,No.01,J021,[46-54],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kd5aS3zdfiBGBfhUTya5ePZhQRZw4Irty_D_LCBKSoGapUpZCPhTQ5FEWYr_c-UqQYXb67x2Ds9W8I-55wSB1-E8oeUqi0cUNmBptDbwCos3aDuYSpb1mjbuAYeJ2LbamLLdE46ID75QCqZZOtYdYwIFxVEJmv3x7qlJzMt-h0Y9w==&uniplatform=NZKPT&language=CHS
发轫、承续与升华：“铸牢中华民族共同体意识”统绪的内在逻辑研究,2024,2025.06.05,1.中南民族大学;2.中南民族大学四部委铸牢中华民族共同体意识研究基地;3.中南民族大学南方少数民族研究中心,唐胡浩;任振一,发轫、承续与升华：“铸牢中华民族共同体意识”统绪的内在逻辑研究,广西民族研究 ,No.06,D633;D64,[37-46],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdSQ0m5HxjHAJEDnz1rQD9SkByuvvC-7oHu1YQG57gbBUuDbO7noUdIo5m2V8eStjLgSOnK-ng9BgqN3j01ywL0dA2jA9Riw52X4PyEPznPVoQIwjc7UzltPwc0GH_zCxkCQoaW7v-Uqs7OIlVYSBQk3vtnkwzma_dXu8TthzSGcg==&uniplatform=NZKPT&language=CHS
数字金融发展与企业费用粘性,2025,2023.05.19,1.中央财经大学会计学院;2.中央财经大学创新发展学院;3.首都经济贸易大学会计学院,袁淳;李超颖;梁上坤,数字金融发展与企业费用粘性,南开管理评论 ,No.06,F275;F49;F832,[149-161],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfGZnBnKDvQF5nFzaySIpsnvIeh1bnP9Dlv8R9ytuYlCZJ_MzbcQwCWM1Y49O_kO6PaGWjR6dqLxblNTVXcjzXYaHtwp1Ghd5f7H1B-TsuEtDSRj83budKIcmf1J-aQsAUEryR__8WiEukQZktrskb0jqb0ICBqqbcxCKqXW7Vpbw==&uniplatform=NZKPT&language=CHS
